hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
21335,SNX13,7,5,2,5,1
12881,ZNF101,7,5,2,5,1
25112,ZNF845,6,4,2,4,1
20645,ZNF416,6,4,2,4,1
13478,UBE3B,5,3,2,3,1
17752,TSPAN3,4,2,2,2,1
19093,PSD3,3,1,2,1,1
29364,TANC1,3,1,2,1,1
19305,SLC30A6,3,1,2,1,1
30366,TMEM131,3,1,2,1,1
25090,CMBL,3,1,2,1,1
20201,FBXO34,3,1,2,1,1
23193,THAP10,3,1,2,1,1
9047,PLAGL2,8,6,2,5,0.833
28072,LYRM7,7,5,2,4,0.8
25092,ZNF765,7,5,2,4,0.8
23836,ZBTB5,10,8,2,6,0.75
25819,COQ10B,6,4,2,3,0.75
28420,KXD1,6,4,2,3,0.75
12927,ZNF142,6,4,2,3,0.75
13049,ZNF256,9,7,2,5,0.714
26498,ZNF513,9,7,2,5,0.714
7326,MSH3,27,25,2,17,0.68
53826,SHLD3,8,6,2,4,0.667
29273,HEATR5B,8,6,2,4,0.667
17073,ARHGAP26,5,3,2,2,0.667
4247,GGCX,5,3,2,2,0.667
2291,COX7B,5,3,2,2,0.667
12964,ZNF175,15,13,2,8,0.615
32310,RBM12B,7,5,2,3,0.6
20376,SUMF1,7,5,2,3,0.6
18737,ZNF395,14,12,2,7,0.583
26775,TMEM192,9,7,2,4,0.571
29643,MLPH,11,9,2,5,0.556
1908,VPS13A,14,12,2,6,0.5
28953,JOSD1,6,4,2,2,0.5
25160,KTI12,6,4,2,2,0.5
29186,ANKRD26,4,2,2,1,0.5
24530,TMEM186,4,2,2,1,0.5
29601,C17orf80,4,2,2,1,0.5
11309,SRPX,4,2,2,1,0.5
18179,VPS33A,19,17,2,8,0.471
26575,PRIMPOL,17,15,2,7,0.467
24013,DNTTIP2,7,5,2,2,0.4
9225,SLC43A1,8,6,2,2,0.333
2350,CREBL2,5,3,2,1,0.333
26928,CDV3,5,3,2,1,0.333
19166,TBC1D5,21,19,2,6,0.316
25491,FRMD4A,6,4,2,1,0.25
19911,DCAF12,6,4,2,1,0.25
18800,POGK,6,4,2,1,0.25
23049,TM7SF3,7,5,2,1,0.2
26635,DENND6A,7,5,2,1,0.2
14254,NOCT,7,5,2,1,0.2
12996,ZNF205,9,7,2,1,0.143
30130,PAQR3,10,8,2,1,0.125
20044,GEMIN6,11,9,2,1,0.111
28870,MDFIC,13,11,2,1,0.091
32554,FAM83G,8,6,2,0,0
24678,FTO,23,21,2,0,0
10698,SEC14L1,10,8,2,0,0
8965,PIGK,8,6,2,0,0
20187,ATG2B,12,10,2,0,0
13549,ATP10D,11,9,2,0,0
23595,VPS13D,8,6,2,0,0
6617,LIPA,9,7,2,0,0
24497,C15orf39,3,1,2,0,0
21035,ARHGAP18,16,14,2,0,0
24180,RPUSD2,5,3,2,0,0
21072,MANEA,4,2,2,0,0
28111,ELMOD2,5,3,2,0,0
21225,CBLL1,10,8,2,0,0
14977,SNX14,8,6,2,0,0
27880,ANKRD13D,7,5,2,0,0
21086,MIB1,10,8,2,0,0
28698,DIS3L,11,9,2,0,0
14450,LPIN2,12,10,2,0,0
13328,IFIT5,18,16,2,0,0
24731,NHLRC2,4,2,2,0,0
15569,CABYR,9,7,2,0,0
26606,METTL15,4,2,2,0,0
20331,RASA3,4,2,2,0,0
6356,KLHL5,3,1,2,0,0
3516,EXTL2,10,8,2,0,0
29106,DDHD2,8,6,2,0,0
15456,MBTPS1,7,5,2,0,0
6953,CD46,19,17,2,0,0
26887,TAPT1,7,5,2,0,0
20910,AFMID,6,4,2,0,0
969,BBS4,27,25,2,0,0
3094,DYRK3,25,23,2,0,0
21114,C6orf89,12,10,2,0,0
30890,URGCP,3,1,2,0,0
10823,SH3BGRL,4,2,2,0,0
25789,EFL1,8,6,2,0,0
30204,C11orf54,9,7,2,0,0
1171,ELP4,11,9,2,0,0
25240,ANO6,33,31,2,0,0
20488,L3HYPDH,3,1,2,0,0
2893,DKK3,11,9,2,0,0
21166,RHEBL1,11,9,2,0,0
25276,PUS7L,6,4,2,0,0
15876,TMEM230,8,7,1,7,1
28632,ZNF557,6,5,1,5,1
12863,ZFP37,6,5,1,5,1
11568,TARBP1,3,2,1,2,1
29507,SCPEP1,3,2,1,2,1
19334,DTWD2,3,2,1,2,1
16105,OSER1,2,1,1,1,1
21556,NT5DC1,2,1,1,1,1
25799,GUF1,2,1,1,1,1
28486,MFSD8,2,1,1,1,1
27329,R3HCC1,2,1,1,1,1
19399,PGBD2,2,1,1,1,1
24641,VPS35L,6,5,1,4,0.8
26135,ZNF552,6,5,1,4,0.8
19687,EIF2AK4,9,8,1,6,0.75
17291,TMED1,9,8,1,6,0.75
25108,ZNF551,5,4,1,3,0.75
32034,ZNF697,5,4,1,3,0.75
27994,ZNF850,5,4,1,3,0.75
33105,ZNF468,5,4,1,3,0.75
14209,ZNF329,5,4,1,3,0.75
38695,ZNF888,5,4,1,3,0.75
23272,ZNF805,5,4,1,3,0.75
16855,TRAM2,5,4,1,3,0.75
13073,ZNF28,5,4,1,3,0.75
28635,GK5,8,7,1,5,0.714
18969,IL31RA,11,10,1,7,0.7
7091,MICB,11,10,1,7,0.7
13588,FBXO9,7,6,1,4,0.667
29786,SLC25A37,4,3,1,2,0.667
16656,ZNF350,15,14,1,9,0.643
23576,HOOK3,20,19,1,12,0.632
12879,ZNF10,9,8,1,5,0.625
25640,UFSP2,6,5,1,3,0.6
20649,ZNF420,6,5,1,3,0.6
13501,ZNF286A,6,5,1,3,0.6
13644,ZNF319,6,5,1,3,0.6
12867,ZKSCAN5,6,5,1,3,0.6
13022,ZNF229,6,5,1,3,0.6
23440,ZNF485,6,5,1,3,0.6
29477,LEPROT,10,9,1,5,0.556
19863,SLC38A6,7,6,1,3,0.5
16764,ZBTB6,7,6,1,3,0.5
16719,DHX34,7,6,1,3,0.5
22205,DPY19L1,5,4,1,2,0.5
26054,SLC25A38,5,4,1,2,0.5
29177,MON2,3,2,1,1,0.5
28159,GFOD2,3,2,1,1,0.5
27607,PPP1R37,3,2,1,1,0.5
23512,R3HCC1L,3,2,1,1,0.5
26145,LDAH,3,2,1,1,0.5
18333,TIGD2,3,2,1,1,0.5
6200,JRKL,3,2,1,1,0.5
